AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
103023807,000005016,ALLEGHENY,FORBES RD CAREER & TECH CTR,FORBES RD CAREER & TECH CTR,Literature,Historically Underperforming,11,14,0.0,35.7,28.6,35.7
103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Algebra I,All Students,11,317,47.0,43.8,7.3,1.9
103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Algebra I,Historically Underperforming,11,73,24.7,46.6,21.9,6.8
103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Biology,All Students,11,314,59.2,31.8,6.7,2.2
103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Biology,Historically Underperforming,11,71,28.2,47.9,15.5,8.5
103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Literature,All Students,11,317,24.6,68.8,5.7,0.9
103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Literature,Historically Underperforming,11,73,5.5,69.9,20.5,4.1
103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Algebra I,All Students,11,239,16.3,53.6,24.7,5.4
103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Algebra I,Historically Underperforming,11,105,7.6,40.0,40.0,12.4
103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Biology,All Students,11,240,28.3,44.6,17.9,9.2
103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Biology,Historically Underperforming,11,106,14.2,36.8,32.1,17.0
103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Literature,All Students,11,238,8.4,73.5,12.2,5.9
103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Literature,Historically Underperforming,11,105,4.8,61.0,21.9,12.4
103024603,000005190,ALLEGHENY,HAMPTON TOWNSHIP SD,HAMPTON HS,Algebra I,All Students,11,246,52.4,39.8,6.5,1.2
103024603,000005190,ALLEGHENY,HAMPTON TOWNSHIP SD,HAMPTON HS,Algebra I,Historically Underperforming,11,41,22.0,43.9,29.3,4.9
